timestamp,question #,question,A,B,C,correct,wrong,tryed_to_solve,right
2/2/2018 20:04,1,What did Yankee Doodle stick in his cap?,Feather,Noodle soup,Duck,A,,NO_TRY,
2/2/2018 20:05,2,"What word completes the phrase: ""Everything but the kitchen""?",Sink,Kaleidoscope,Hogwash,A,,NO_TRY,
2/2/2018 20:05,3,What was the first theatrical feature film to be completely computer-animated?,Gone with the Wind,Toy Story 2,Toy Story,C,,,RIGHT
2/2/2018 20:06,4,"Traditionally, an ""amuse-bouche"" arrives right before what part of the meal?",Appetizers,Entrée,Dessert,A,,,RIGHT
2/2/2018 20:07,5,"In the game of Candy Land, which player goes first?",The youngest,Blue token holder,First to draw a red card,A,,NO_TRY,
2/2/2018 20:08,6,"In the popular comic strip, what color is Hagar the Horrible's beard?",White,Blond,Red,C,,,RIGHT
2/2/2018 20:10,7,What spice comes from the crocus flower?,Cloves,Allspice,Saffron,C,,,RIGHT
2/2/2018 20:11,9,Buying a can of soda will incur a higher tax in which city?,"Santa Barbara, CA","Denver, CO","Seattle, WA",C,,NO_TRY,
2/2/2018 20:12,10,"Who is credited with coining the phrase: ""For whom the bell tolls""?",John Donne,William Shakespeare,Ernest Hemingway,A,WRONG,,
2/2/2018 20:12,11,What was the first product to have its barcode scanned at purchase?,Rubik's Cube,Wrigley's chewing gum,Apple IIe,B,,NO_TRY,
2/2/2018 20:14,12,Catherine de' Medici was present at the performance of the first-ever formal what?,Opera,Commedia dell'arte,Ballet,C,,,RIGHT
2/3/2018 2:06,1,Parmesan cheese is named for an Italian province called what?,Romana,Yomamma,Parma,C,,,RIGHT
2/3/2018 2:07,2,Which of these famous fictional animals is a ruminant?,Bambi,Mister Ed,Eeyore,A,,NO_TRY,
2/3/2018 2:08,3,Which popular root beer brand typically contains caffeine?,Barq's,A&amp;W,Mug,A,,,RIGHT
2/3/2018 2:09,4,Which of these elements would earn you the highest score in Scrabble?,Oxygen,Xenon,Zinc,A,,NO_TRY,
2/3/2018 2:09,5,What is the correct spelling of the Pennsylvania town famous for its groundhog?,Punksatawany,Puncksehtany,Punxsutawney,C,,,RIGHT
