timestamp,question #,question,A,B,C,correct
2/2/2018 20:04,1,What did Yankee Doodle stick in his cap?,Feather,Noodle soup,Duck,A
2/2/2018 20:05,2,"What word completes the phrase: ""Everything but the kitchen""?",Sink,Kaleidoscope,Hogwash,A
2/2/2018 20:05,3,What was the first theatrical feature film to be completely computer-animated?,Gone with the Wind,Toy Story 2,Toy Story,C
2/2/2018 20:06,4,"Traditionally, an ""amuse-bouche"" arrives right before what part of the meal?",Appetizers,Entrée,Dessert,A
2/2/2018 20:07,5,"In the game of Candy Land, which player goes first?",The youngest,Blue token holder,First to draw a red card,A
2/2/2018 20:08,6,"In the popular comic strip, what color is Hagar the Horrible's beard?",White,Blond,Red,C
2/2/2018 20:10,7,What spice comes from the crocus flower?,Cloves,Allspice,Saffron,C
2/2/2018 20:11,9,Buying a can of soda will incur a higher tax in which city?,"Santa Barbara, CA","Denver, CO","Seattle, WA",C
2/2/2018 20:12,10,"Who is credited with coining the phrase: ""For whom the bell tolls""?",John Donne,William Shakespeare,Ernest Hemingway,A
2/2/2018 20:12,11,What was the first product to have its barcode scanned at purchase?,Rubik's Cube,Wrigley's chewing gum,Apple IIe,B
2/2/2018 20:14,12,Catherine de' Medici was present at the performance of the first-ever formal what?,Opera,Commedia dell'arte,Ballet,C
2/3/2018 2:06,1,Parmesan cheese is named for an Italian province called what?,Romana,Yomamma,Parma,C
2/3/2018 2:07,2,Which of these famous fictional animals is a ruminant?,Bambi,Mister Ed,Eeyore,A
2/3/2018 2:08,3,Which popular root beer brand typically contains caffeine?,Barq's,A&amp;W,Mug,A
2/3/2018 2:09,4,Which of these elements would earn you the highest score in Scrabble?,Oxygen,Xenon,Zinc,A
2/3/2018 2:09,5,What is the correct spelling of the Pennsylvania town famous for its groundhog?,Punksatawany,Puncksehtany,Punxsutawney,C
2/3/2018 2:11,6,"In 1973, Arabella and Anita became the first members of what species to go into space?",Spider,Fruit fly,Ladybug,A
2/3/2018 2:12,7,What was the least popular papal name of the 19th century?,Leo,Pius,Gregory,C
2/3/2018 2:12,8,New Mexico exempts which group of people from paying state income taxes?,Hybrid car owners,Centenarians,Registered lobbyists,B
2/3/2018 2:14,9,Which of these Summer Olympics events uses the longest playing surface?,Fencing,Badminton,Taekwondo,A
2/4/2018 2:04,1,"The college degree ""B.A."" is short for what?",Bachelor of Arts,Booyah Awesome,Beefy Arms,A
2/4/2018 2:05,2,Which country is part of North America?,Norway,Brazil,Canada,C
2/4/2018 2:05,3,Which tool is typically used to clear a clogged pipe?,Claw hammer,Snake,Shovel,B
2/4/2018 2:07,4,Which of the original Monopoly game pieces was retired last year?,Thimble,Race car,Top hat,A
2/4/2018 2:08,5,Which film director holds a U.S. patent for a T-shirt?,Quentin Tarantino,Francis Ford Coppola,James Cameron,B
2/4/2018 2:09,6,Which food is traditionally a main ingredient in mock turtle soup?,Calf brains,Tortoise meat,Snails,A
2/4/2018 2:09,7,"Aerosmith's ""Dude (Looks Like a Lady)"" was written about what heavy metal vocalist?",Axl Rose,Bret Michaels,Vince Neil,C
2/4/2018 2:10,8,"Which of these is Venus visibly lacking in Botticelli's ""Birth of Venus""?",Belly button,Left arm,Body hair,C
2/4/2018 2:11,9,Boston and Buffalo have both been home to major pro sports teams named what?,Giants,Angels,Braves,C
2/4/2018 2:12,10,Which type of animal has been kept as a White House pet by a U.S. president?,Cow,Lemur,Sugar glider,A
2/4/2018 2:13,11,"In the 1800s, a chemistry student making synthetic quinine accidentally created what dye?",Mauve,Periwinkle,Turquoise,A
2/5/2018 20:05,1,Tic-tac-toe is typically played by writing what two symbols?,Yin and yang,+ / -,X / O,C
2/5/2018 20:06,2,What's the anatomical name for the center of a hurricane?,Shinbone,Pancreas,Eye,C
2/5/2018 20:06,3,Which of these is an actual Winter Olympics event?,Skeleton,Ghostathlon,Frankensteining,A
2/5/2018 20:07,4,A high-tech store with no cashiers recently opened in Seattle under what name?,Amazon Go,Google Shop,Microsoft Zip,A
2/5/2018 20:08,5,"By definition, which of these people is guilty of treason?",Scullion,Poltroon,Quisling,C
2/5/2018 20:09,6,Which of these actors turned down the role of Frasier Crane?,Bob Balaban,John Lithgow,Dan Aykroyd,B
2/5/2018 20:10,7,The Benihana company has a restaurant in which of these places?,China,Aruba,Japan,B
2/5/2018 20:10,8,Which has been the last name of a U.S. president AND a British prime minister?,Hayes,Arthur,Wilson,C
2/5/2018 20:12,10,In what medium was Superman's Kryptonite weakness introduced?,The radio series,The 1978 movie,Action Comics #64,A
2/5/2018 20:15,12,What costume was worn by the original lead singer of the Village People?,Cowboy,Policeman,Construction worker,B
2/6/2018 2:05,1,A spork is a utensil that combines what two things?,Spam / pork,Sponge / cork,Spoon / fork,C
2/6/2018 2:06,2,"On a compass, what does the letter N typically stand for?",Norbit,North,Nordic,B
2/6/2018 2:06,3,"In 2017, what did Twitter do to its 140-character limit on tweets?",Double it,Halve it,Reduce it to 15,A
2/6/2018 2:08,4,"What popular corn chip loosely translates to ""little golden things"" in Spanish?",Tostitos,Fritos,Doritos,C
2/6/2018 2:12,5,U.S. air traffic controllers refer to the plane the Pope travels on by what official call sign?,Shepherd One,Il Papa,Air Vatican,A
2/6/2018 2:12,6,What zodiac sign features a creature that defends itself with an aculeus?,Cancer,Sagittarius,Scorpio,C
2/6/2018 2:13,7,Who was the first U.S. president to enjoy indoor plumbing at the White House?,Millard Fillmore,Andrew Jackson,John Adams,B
2/6/2018 2:14,8,"From 2000 to 2002, what MLB team's stadium was named for a company that no longer exists?",Angels,Rays,Astros,C
2/6/2018 2:15,9,The lunar module for the Apollo 10 moon mission was nicknamed what?,Eagle,Beagle,Snoopy,C
2/6/2018 2:16,11,"After Prince Edward Island, what is Canada's most densely populated province?",New Brunswick,Ontario,Nova Scotia,C
2/6/2018 20:04,1,What is a common remedy for dehydration?,Drinking water,Running a marathon,Slaying a hydra,A
2/6/2018 20:07,2,"The band that recorded ""September"" is named ""Earth, Wind &amp;"" what?",Frederick,Fire,Flagellum,B
2/7/2018 2:05,1,"In the classic fairy tale, who is Little Red Riding Hood's enemy?",Big Baller Brand,Big Lebowski,Big Bad Wolf,C
2/7/2018 2:05,2,Pantene Pro-V and Garnier Fructis are popular types of what?,ShamWow,Shampoo,Champagne,B
2/7/2018 2:06,3,A bed that folds up into the wall is commonly known as what?,Sully bed,Fitzy bed,Murphy bed,C
2/7/2018 2:07,4,Which of these colleges does NOT have a physical location?,Electoral College,Deep Springs College,Hampshire College,A
2/7/2018 2:08,5,Which of these desserts is often made with ladyfingers?,Tiramisu,Magdalena,Financier,A
2/7/2018 2:09,6,Which of these is a real illness that affects rabbits?,Ruffles,Fluffles,Snuffles,C
2/7/2018 2:09,7,The Doors are named after a famous essay by the author of what iconic novel?,Lolita,On the Road,Brave New World,C
2/7/2018 2:10,8,Which TV news host once wrote about his first date with Monica Lewinsky?,Jake Tapper,Van Jones,Chris Hayes,A
2/7/2018 2:11,9,"The famous German phrase ""Sturm und Drang"" comes from what?",Poem,Novel,Play,C
2/7/2018 2:12,10,In which African country is English NOT the official language?,Sierra Leone,Liberia,Chad,C
2/7/2018 2:13,11,Which ‘90s movie is an anagram of the original book title which the film is based on?,Free Willy,October Sky,Jumanji,B
2/7/2018 2:14,12,Which legendary music producer is closely related to former President Jimmy Carter?,Jeff Lynne,Brian Eno,Berry Gordy,C
2/7/2018 20:05,1,"Which of these websites is an online database for movies, television and video games?",Petfinder,IMDb,Yelp,B
2/7/2018 20:06,2,What does bicameral mean?,Two camels,Two cameras,Two chambers,C
2/7/2018 20:07,3,A galleon is an old-fashioned type of what?,Ship,Measurement,Dress,A
2/7/2018 20:08,4,"What male singing voice type is higher than a bass, but lower than a tenor?",Baritone,Countertenor,Sopranist,A
2/7/2018 20:09,5,Which of these is NOT a real berry?,Buffaloberry,Iceberry,Cloudberry,B
2/7/2018 20:10,6,George Washington Carver is famous for his scientific work on what subject?,Soil depletion,Irrigation technology,Food packaging,A
2/7/2018 20:11,7,Which of these is NOT believed to be a function of the uvula?,Taste,Speech,Lubricant,A
2/7/2018 20:12,8,Which of these baseball legends was a first-ballot Hall of Famer?,Joe DiMaggio,Cy Young,Mickey Mantle,C
2/7/2018 20:15,9,Which of these things can be mathematically described as an oblate spheroid?,NFL football,Unshelled peanut,Planet Earth,C
2/8/2018 2:04,1,"""Fro-yo"" is short for what?",Frolicking yokels,Frozen yogurt,Frog yoga,B
2/8/2018 2:06,3,What is the name of a Japanese art form that features trees grown in containers?,Kawaii,Bonsai,Manga,B
2/8/2018 2:06,4,What college football team's chant is also likely to be heard on a farm?,Arkansas Razorbacks,Ole Miss Rebels,Penn State Lions,A
2/8/2018 2:08,5,"What legendary ""Buffalo Bill's Wild West"" star had a negative-sounding nickname?",Annie Oakley,May Lillie,Martha Jane Cannary,C
2/8/2018 2:09,6,Where did Bernese Mountain Dogs originate?,Myanmar,Switzerland,Afghanistan,B
2/8/2018 2:10,7,Which fashion designer is grandmother to a literal princess?,Diane von Fürstenberg,Rei Kawakubo,Vivienne Westwood,A
2/8/2018 2:11,8,Which film features the same kind of talking animal as the Old Testament book Numbers?,The Lion King,Finding Nemo,Shrek,C
2/8/2018 2:13,10,In which country is GeoCities still up and running?,Canada,Japan,Australia,B
2/8/2018 2:14,11,"Before the lyrics are sung, how many finger snaps are heard in the ""Addams Family"" theme song?",12 snaps,6 snaps,8 snaps,A
2/8/2018 20:03,1,"Which of these is the name of a princess in Disney's ""Frozen""?",Frosier,Jack Frost,Elsa,C
2/8/2018 20:04,2,The Olympic logo features what combination of shapes?,Two triangles,Five rings,Seven parabolas,B
2/8/2018 20:05,3,"The Italian cooking term ""al dente"" means what?",Firm,With butter,Salted,A
2/8/2018 20:06,4,"Which of these companies offers a ""freemium"" service?",Spotify,Netflix,Tidal,A
2/8/2018 20:07,5,What word does Nestlé use to describe their Toll House chocolate chips?,Morsels,Nibbles,Samples,A
2/8/2018 20:07,6,"Which of these countries legally guarantees its citizens ""freedom to roam""?",Brazil,Sweden,Mongolia,B
2/8/2018 20:08,7,Bill Cunningham was a key influence in what style of photography?,Tilt-shift,Portrait,Street style,C
2/8/2018 20:09,8,"""INTJ"" is a personality type based on a hypothesis by which psychiatrist?",B.F. Skinner,Carl Jung,Sigmund Freud,B
2/8/2018 20:09,9,Which of these activists is the subject of a song by John Lennon and Yoko Ono?,Angela Davis,"Martin Luther King, Jr.",Bobby Seale,A
2/8/2018 20:10,10,The U.S. flag bearer for the 2018 Olympics is a medalist in what event?,Figure skating,Speed skating,Luge,C
